Strain,Type,Effects
Melon-Gum,hybrid,"Happy,Relaxed,Creative,Euphoric,Focused"
Memory-Loss,sativa,"Creative,Uplifted,Happy,Euphoric,Talkative"
Mendo-Afgoo,indica,"Sleepy,Hungry,Relaxed,Uplifted,Euphoric"
Mendo-Breath,indica,"Relaxed,Euphoric,Sleepy,Happy,Uplifted"
Mendocino-Madness,hybrid,"Dry,Mouth"
Mendocino-Purps,hybrid,"Relaxed,Happy,Euphoric,Tingly,Hungry"
Mercury-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
Merlot-Og,indica,"Relaxed,Happy,Uplifted,Euphoric,Tingly"
Mexican,sativa,"Uplifted,Euphoric,Giggly,Energetic,Talkative"
Mexican-Sativa,sativa,"Happy,Uplifted,Energetic,Hungry,Focused"
Michael-Phelps-Og,hybrid,"Relaxed,Hungry,Sleepy,Creative,Talkative"
Mickey-Kush,sativa,"Uplifted,Happy,Focused,Relaxed,Euphoric"
Middlefork,hybrid,"Creative,Happy,Uplifted,Focused,Euphoric"
Middlefork-X-Pineapple-Express,sativa,"Happy,Euphoric,Giggly,Uplifted,Relaxed"
Midnight,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Creative"
Milky-Way,indica,"Relaxed,Happy,Euphoric,Energetic,Focused"
Millennium,hybrid,"Creative,Relaxed,Uplifted,Happy,Energetic"
Mint-Chocolate-Chip,hybrid,"Relaxed,Happy,Tingly,Uplifted,Talkative"
Mission-Kush,hybrid,"Creative,Uplifted,Energetic,Euphoric,Happy"
Misty-Kush,indica,"Happy,Euphoric,Relaxed,Uplifted,Talkative"
Misty-Morning,hybrid,"Sleepy,Euphoric,Relaxed"
Mob-Boss,hybrid,"Energetic,Happy,Euphoric,Uplifted,Relaxed"
Moby-Dick,sativa,"Uplifted,Euphoric,Happy,Relaxed,Energetic"
Mochi,hybrid,"Sleepy,Happy,Hungry,Relaxed,Tingly"
Molokai-Frost,indica,"Relaxed,Euphoric,Happy,Creative,Uplifted"
Molokai-Purpz,indica,"Aroused,Creative,Euphoric,Relaxed,Sleepy"
Money-Maker,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Monkey-Paw,hybrid,"Relaxed,Happy,Hungry,Uplifted,Euphoric"
Monolith,indica,"Relaxed,Sleepy,Tingly,Euphoric,Focused"
Monster-Cookies,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Monster-Og,hybrid,"Hungry,Relaxed,Happy,Tingly,Sleepy"
Montana-Silvertip,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Giggly"
Moon-Cookies,hybrid,"Hungry,Focused,Euphoric,Happy,Relaxed"
Moondance,sativa,"Creative,Euphoric,Happy,Relaxed"
Moonshine-Haze,sativa,"Uplifted,Euphoric,Happy,Relaxed,Creative"
Moonwalker-Kush,hybrid,"Relaxed,Euphoric,Happy,Focused,Giggly"
Moose-And-Lobsta,sativa,"Happy,Uplifted,Euphoric,Energetic,Talkative"
Morning-Glory,hybrid,"Creative,Energetic,Happy,Aroused,Uplifted"
Morning-Star,hybrid,"Uplifted,Euphoric,Creative,Happy,Energetic"
Mossad,indica,"Euphoric,Focused,Relaxed"
Mossimo-Og,indica,"Euphoric,Focused,Relaxed,Sleepy,Uplifted"
Motavation,indica,"Relaxed,Creative,Sleepy,Giggly,Euphoric"
Mother-Tongue,sativa,"Happy,Creative,Euphoric,Giggly,Energetic"
Mother-Of-Berries,indica,"Relaxed,Happy,Creative,Sleepy,Tingly"
Mothers-Milk,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Mothers-Finest,sativa,"Aroused,Happy,Uplifted,Creative,Energetic"
Mothers-Helper,hybrid,"Energetic,Uplifted,Happy,Focused,Creative"
Mountain-Girl,hybrid,"Happy,Uplifted,Relaxed,Talkative,Creative"
Mr-Nice,indica,"Relaxed,Happy,Hungry,Sleepy,Uplifted"
Mr-Tusk,hybrid,"Happy,Talkative,Tingly,Euphoric,Relaxed"
Ms-Universe,hybrid,"Euphoric,Happy,Talkative,Uplifted,Giggly"
Mt-Cook,indica,"Euphoric,Focused,Happy,Relaxed,Aroused"
Mt-Hood-Magic,hybrid,"Euphoric,Happy,Creative,Focused,Uplifted"
Mt-Rainier,hybrid,"Happy,Uplifted,Relaxed,Aroused,Tingly"
Mud-Bite,indica,"Euphoric,Relaxed,Sleepy,Uplifted,Giggly"
Murkle,indica,"Sleepy,Talkative,Euphoric,Happy,Hungry"
Nl5-Haze-Mist,sativa,"Happy,Euphoric,Relaxed,Uplifted,Creative"
Ny-Cheese,hybrid,"Hungry,Happy,Creative,Uplifted,Energetic"
Ny-47,hybrid,"Hungry,Euphoric,Uplifted,Energetic,Relaxed"
Nyc-Diesel,hybrid,"Happy,Uplifted,Relaxed,Energetic,Euphoric"
Nypd,sativa,"Uplifted,Happy,Relaxed,Giggly,Focused"
Narnia,sativa,"Happy,Creative,Euphoric,Uplifted,Energetic"
Nebula,hybrid,"Uplifted,Happy,Euphoric,Energetic,Creative"
Nebula-Ii-Cbd,hybrid,"Focused,Uplifted,Talkative,Creative,Euphoric"
Negra-44,indica,"Creative,Energetic,Relaxed,Hungry,Talkative"
Nepalese,sativa,"Happy,Uplifted,Hungry,Euphoric,Creative"
Nepalese-Jam,hybrid,"Uplifted,Relaxed,Creative,Focused"
Neptune-Kush,indica,"Relaxed,Uplifted,Happy,Hungry,Sleepy"
Neptune-Og,indica,"Sleepy,Focused,Happy,Hungry,Relaxed"
Nevils-Wreck,sativa,"Uplifted,Creative,Euphoric,Happy,Aroused"
Nevilles-Haze,sativa,"Uplifted,Giggly,Euphoric,Talkative,Relaxed"
Nexus-Og,indica,"Relaxed,Euphoric,Happy,Aroused,Sleepy"
Nice-Cherry,indica,"Happy,Talkative,Uplifted,Relaxed,Hungry"
Nicole-Kush,indica,"Relaxed,Euphoric,Uplifted,Happy,Tingly"
Night-Nurse,indica,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Night-Terror-Og,indica,"Relaxed,Sleepy,Happy,Tingly,Euphoric"
Night-Train,indica,"Relaxed,Sleepy,Tingly,Euphoric,Uplifted"
Nightfire-Og,sativa,"Euphoric,Uplifted,Tingly,Talkative,Energetic"
Nightmare-Cookies,hybrid,"Relaxed,Euphoric,Happy,Creative,Uplifted"
Nina-Limone,sativa,"Euphoric,Happy,Energetic,Talkative,Uplifted"
Ninja-Fruit,hybrid,"Happy,Relaxed,Sleepy,Uplifted,Aroused"
Nordle,indica,"Relaxed,Happy,Creative,Uplifted,Focused"
North-American,indica,"Relaxed,Focused,Sleepy,Uplifted,Giggly"
North-American-Sativa,sativa,"Uplifted,Euphoric,Focused,Happy,Relaxed"
North-Indian,indica,"Uplifted,Happy,Hungry,Aroused,Sleepy"
Northernberry,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Northern-Cross,hybrid,"Uplifted,Creative,Energetic,Euphoric,Focused"
Northern-Lights,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Northern-Lights--5,indica,"Happy,Uplifted,Relaxed,Euphoric,Focused"
Northern-Lights-5-X-Haze,sativa,"Happy,Talkative,Relaxed,Uplifted,Energetic"
Northern-Skunk,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Hungry"
Northern-Wreck,indica,"Relaxed,Euphoric,Happy,Tingly,Creative"
Northwest-Pineapple,hybrid,"Uplifted,Euphoric,Happy,Relaxed"
Nova,indica,"Happy,Creative,Euphoric,Relaxed,Uplifted"
Nuclear-Cookies,hybrid,"Happy,Creative,Relaxed,Euphoric,Tingly"
Nuggetry-Og,indica,"Creative,Euphoric,Sleepy,Giggly,Happy"
Nuken,indica,"Relaxed,Happy,Uplifted,Sleepy,Euphoric"
Nurse-Jackie,sativa,"Euphoric,Relaxed,Uplifted,Happy,Energetic"
Oca-Gold,indica,"Sleepy,Relaxed,Tingly,Euphoric,Happy"
Ocas-Cloud-9,hybrid,"Energetic,Happy,Uplifted,Euphoric,Talkative"
Ocd,sativa,"Energetic,Creative,Aroused,Uplifted,Euphoric"
Og-18,hybrid,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Og-1-Kenobi,indica,"
Relaxed,Euphoric,Sleepy,Hungry,Creative"
Og-Cheese,hybrid,"Relaxed,Creative,Happy,Sleepy,Uplifted"
Og-Chem,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Energetic"
Og-Diesel-Kush,hybrid,"Happy,Relaxed,Creative,Euphoric,Hungry"
Og-Eddy-Lepp,indica,"Happy,Sleepy,Hungry,Talkative,Tingly"
Og-Glue-Sniffer,hybrid,"Sleepy,Uplifted,Relaxed"
Og-Kush,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Og-La-Affie,indica,"Relaxed,Happy,Uplifted,Focused,Creative"
Og-Los-Angeles-Kush,indica,"Sleepy,Relaxed,Hungry,Euphoric,Focused"
Og-Poison,hybrid,"Relaxed,Sleepy,Euphoric,Hungry,Focused"
Og-Ringo,hybrid,"Happy,Relaxed,Uplifted,Hungry,Euphoric"
Og-Shark,hybrid,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
Og-Skunk,hybrid,"Happy,Euphoric,Creative,Relaxed,Uplifted"
Og-Sour-Diesel,hybrid,"Happy,Relaxed,Energetic,Giggly,Talkative"
Og-Strawberry,hybrid,"Happy,Creative,Uplifted,Euphoric,Relaxed"
Og-Tonic,hybrid,"Aroused,Energetic,Euphoric,Happy"
Og-Wreck,hybrid,"Focused,Euphoric,Uplifted,Happy,Tingly"
Ogs-Pearl,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Ogiesel,hybrid,"Euphoric,Energetic,Creative,Relaxed,Happy"
Obama-Kush,indica,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Odyssey,hybrid,"Focused,Relaxed,Happy,Uplifted,Tingly"
Ogre,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Aroused"
Ogre-Berry,indica,"Happy,Relaxed,Focused,Sleepy,Giggly"
Old-Lyme-Connecticut-Og,hybrid,"Energetic,Happy,Talkative,Uplifted,Euphoric"
Old-Mother-Sativa,sativa,"Giggly,Happy"
Old-School-Og,hybrid,"Sleepy,Relaxed,Tingly,Happy,Euphoric"
Old-Toby,hybrid,"Creative,Energetic,Happy,Euphoric,Relaxed"
Oldtimers-Haze,sativa,"Tingly,Uplifted,Energetic"
Omega,hybrid,"Euphoric,Happy,Tingly,Relaxed,Uplifted"
Omega-Dawg,hybrid,"Uplifted,Euphoric,Relaxed,Happy,Tingly"
One-To-One,hybrid,"Focused,Hungry,Relaxed,Creative,Energetic"
Opal-Og-Kush,indica,"Relaxed,Euphoric,Aroused,Sleepy,Tingly"
Opium,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Giggly"
Or,hybrid,"Hungry,Happy,Relaxed,Euphoric,Sleepy"
Orange-Afghani,indica,"Hungry,Relaxed,Sleepy,Creative,Uplifted"
Orange-Blossom,hybrid,"Uplifted,Euphoric,Happy,Talkative,Creative"
Orange-Bud,hybrid,"Happy,Euphoric,Energetic,Relaxed,Uplifted"
Orange-Cookies,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Creative"
Orange-Creamsicle,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused"
Orange-Crush,hybrid,"Uplifted,Happy,Relaxed,Energetic,Creative"
Orange-Diesel,hybrid,"Relaxed,Focused,Talkative,Energetic,Euphoric"
Orange-Dream,hybrid,"Happy,Euphoric,Creative,Uplifted,Relaxed"
Orange-Durban,sativa,"Energetic,Talkative,Uplifted,Focused,Creative"
Orange-Haze,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Energetic"
Orange-Hill-Special,hybrid,"Happy,Relaxed,Sleepy,Euphoric,Focused"
Orange-Juice,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Creative"
Orange-Kush,indica,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
Orange-Kush-Breath,hybrid,"Uplifted,Euphoric,Relaxed,Giggly,Happy"
Orange-Romulan,indica,"Euphoric,Relaxed,Tingly,Giggly,Happy"
Orange-Skunk,hybrid,"Happy,Relaxed,Uplifted,Hungry,Tingly"
Orange-Turbo,hybrid,"Happy,Creative,Relaxed,Sleepy,Hungry"
Orange-Velvet,hybrid,"Uplifted,Relaxed,Happy,Euphoric,Focused"
Orange-Wreck,sativa,"Uplifted,Creative,Energetic,Euphoric,Focused"
Oregon-Diesel,indica,"Relaxed,Happy,Sleepy,Tingly,Euphoric"
Oregon-Pineapple,hybrid,"Happy,Giggly,Uplifted,Relaxed,Creative"
Oregon-Pinot-Noir,sativa,"Relaxed,Euphoric,Sleepy,Focused,Tingly"
Organic-Diesel,hybrid,"Uplifted,Happy,Talkative,Energetic,Focused"
Orient-Express,hybrid,"Uplifted,Euphoric,Happy,Hungry,Relaxed"
Ortega,indica,"Relaxed,Giggly,Uplifted,Euphoric,Sleepy"
Oteils-Egyptian-Kush,hybrid,"Happy,Hungry,Relaxed,Focused,Creative"
Outer-Space,sativa,"Uplifted,Creative,Euphoric,Energetic,Happy"
Outlaw,sativa,"Euphoric,Uplifted,Creative,Energetic,Focused"
Ogezus,indica,"Relaxed,Euphoric,Happy,Creative,Energetic"
P-51,indica,"Happy,Giggly,Tingly,Uplifted,Relaxed"
P-91,hybrid,"Euphoric,Happy,Relaxed,Creative,Energetic"
Pvc-Og,indica,"Tingly,Focused,Talkative,Uplifted,Energetic"
Pacific-Blue,indica,"Tingly,Relaxed,Sleepy,Uplifted,Creative"
Pagoda,sativa,"Uplifted,Happy,Relaxed,Talkative,Energetic"
Pakistan-Valley-Kush,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Pakistani-Chitral-Kush,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Pamelina,indica,"Euphoric,Relaxed,Happy,Sleepy,Uplifted"
Panama-Punch,sativa,"Happy,Energetic,Uplifted,Focused,Tingly"
Panama-Red,sativa,"Happy,Hungry,Uplifted,Energetic,Focused"
Panda-Og,hybrid,"Relaxed,Euphoric,Happy,Focused,Uplifted"
Pandoras-Box,sativa,"Euphoric,Energetic,Uplifted,Happy,Focused"
Papas-Og,indica,"Relaxed,Focused,Happy,Giggly,Sleepy"
Papaya,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Paris-Og,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Paris-Xxx,indica,"Creative,Aroused,Uplifted,Energetic,Euphoric"
Patti-Cake,hybrid,"Uplifted,Giggly,Hungry,Relaxed"
Peaches-And-Cream,hybrid,"Euphoric,Relaxed,Focused,Creative,Hungry"
Pearl-Scout-Cookies,hybrid,"Uplifted,Happy,Giggly,Relaxed,Focused"
Peles-Fire-Og,hybrid,"Aroused,Uplifted,Energetic,Sleepy,Tingly"
Pennywise,indica,"Relaxed,Happy,Uplifted,Sleepy,Focused"
Peppermint-Cookies,hybrid,"Relaxed,Euphoric,Uplifted,Focused,Creative"
Permafrost,hybrid,"Focused,Happy,Relaxed,Talkative,Euphoric"
Pestilence,indica,None
Petrolia-Headstash,indica,"Relaxed,Euphoric,Uplifted,Happy,Aroused"
Peyote-Cookies,indica,"Happy,Euphoric,Creative,Relaxed,Hungry"
Peyton-Manning,hybrid,"Uplifted,Creative,Euphoric,Focused,Giggly"
Pez,indica,"Euphoric,Sleepy,Giggly,Relaxed,Energetic"
Phantom-Arrow,indica,"Happy,Relaxed,Tingly,Euphoric,Focused"
Phantom-Cookies,hybrid,"Happy,Relaxed,Uplifted,Creative,Energetic"
Phantom-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Focused"
Phatt-Frutty,indica,"Uplifted,Happy,Relaxed,Talkative,Creative"
Phishhead-Kush,indica,"Giggly,Happy,Talkative,Tingly,Uplifted"
Pie-Face-Og,hybrid,"Relaxed,Euphoric,Giggly,Happy,Tingly"
Pine-Cone,hybrid,"Creative,Uplifted,Energetic,Euphoric,Focused"
Pine-Queen-Dream,hybrid,"Aroused,Uplifted,Euphoric,Focused,Happy"
Pine-Tar-Kush,indica,"Relaxed,Happy,Uplifted,Euphoric,Hungry"
Pineapple,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Energetic"
Pineapple-Calyx,hybrid,None
Pineapple-Chunk,hybrid,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
Pineapple-Cookies,hybrid,"Talkative,Energetic,Euphoric,Happy,Uplifted"
Pineapple-Diesel,hybrid,"Uplifted,Talkative,Happy,Euphoric,Giggly"
Pineapple-Dog-Shit,hybrid,"Uplifted,Euphoric,Energetic,Focused,Happy"
Pineapple-Express,hybrid,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
Pineapple-Fields,sativa,"Creative,Uplifted,Happy,Relaxed,Euphoric"
Pineapple-Haze,sativa,"Relaxed,Euphoric,Happy,Uplifted,Energetic"
Pineapple-Jack,sativa,"Happy,Euphoric,Talkative,Tingly,Giggly"
Pineapple-Kush,hybrid,"Happy,Uplifted,Euphoric,Giggly,Relaxed"
Pineapple-Og,sativa,"Happy,Uplifted,Focused,Creative,Energetic"
Pineapple-Punch,sativa,"Creative,Aroused,Happy,Euphoric,Uplifted"
Pineapple-Purple-Skunk,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Aroused"
Pineapple-Purps,sativa,"Creative,Uplifted,Relaxed,Euphoric,Energetic"
Pineapple-Sage,sativa,"Uplifted,Creative,Energetic,Euphoric,Focused"
Pineapple-Skunk,hybrid,"Uplifted,Happy,Relaxed,Euphoric,Talkative"
Pineapple-Super-Silver-Haze,sativa,"Happy,Euphoric,Energetic,Focused,Tingly"
Pineapple-Thai,sativa,"Relaxed,Creative,Sleepy,Happy,Focused"
Pineapple-Trainwreck,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Giggly"
Pineapple-Upside-Down-Cake,hybrid,"Euphoric,Happy,Relaxed,Tingly,Uplifted"
Pink-Berry,indica,"Sleepy,Uplifted,Aroused,Tingly,Euphoric"
Pink-Bubba,indica,"Relaxed,Euphoric,Sleepy,Hungry,Happy"
Pink-Champagne,indica,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Pink-Cookies,hybrid,"Relaxed,Aroused,Creative,Giggly,Happy"
Pink-Death-Star,indica,"Relaxed,Sleepy,Euphoric,Happy,Tingly"
Pink-Hawaiian,hybrid,"Uplifted,Creative,Happy,Aroused,Energetic"
Pink-Kush,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Pink-Lemonade,hybrid,"Happy,Uplifted,Energetic,Relaxed,Focused"
Pink-Mango,hybrid,"Relaxed,Happy,Euphoric,Creative,Focused"
Pink-Panther,hybrid,"Happy,Euphoric,Energetic,Uplifted,Relaxed"
Pink-Pez,hybrid,"Happy,Sleepy,Creative,Relaxed,Hungry"
Pink-Starburst,hybrid,"Euphoric,Happy,Talkative,Uplifted,Creative"
Pink-Sunset,indica,"Relaxed,Euphoric,Tingly,Sleepy,Happy"
Pinot-Green,sativa,"Talkative,Euphoric,Focused,Sleepy,Uplifted"
Pitbull,indica,"Relaxed,Sleepy,Happy,Euphoric,Focused"
Pia-Collision,sativa,"Relaxed,Sleepy,Creative,Energetic,Aroused"
Platinum-Bubba-Kush,indica,"Euphoric,Relaxed,Happy,Sleepy,Uplifted"
Platinum-Calyx,hybrid,"Euphoric,Uplifted,Creative,Hungry,Relaxed"
Platinum-Gsc,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Platinum-Huckleberry-Cookies,hybrid,"Euphoric,Relaxed,Happy,Tingly,Creative"
Platinum-Kush,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Platinum-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
Platinum-Purple-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Platinum-Sour-Diesel,hybrid,"Giggly,Relaxed,Uplifted,Euphoric,Happy"
Platinum-Wreck,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Creative"
Plushberry,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Pluto-Kush,indica,"Euphoric,Sleepy,Relaxed,Creative,Hungry"
Poison-Haze,sativa,"Energetic,Happy,Relaxed,Uplifted,Giggly"
Pokie,indica,"Relaxed,Sleepy,Euphoric,Happy,Focused"
Poochie-Love,sativa,"Euphoric,Focused,Creative,Happy,Energetic"
Pop-Rox,hybrid,"Euphoric,Creative,Uplifted,Happy,Aroused"
Popcorn-Kush,indica,"Relaxed,Sleepy,Happy,Hungry,Giggly"
Pot-Of-Gold,indica,"Relaxed,Happy,Creative,Focused,Sleepy"
Power-Kush,indica,"Relaxed,Uplifted,Euphoric,Sleepy,Creative"
Power-Plant,sativa,"Happy,Uplifted,Euphoric,Energetic,Talkative"
Pre-98-Bubba-Kush,indica,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
Predator-Pink,hybrid,"Relaxed,Happy,Euphoric,Tingly,Uplifted"
Presidential-Og,indica,"Relaxed,Sleepy,Happy,Giggly,Tingly"
Primus,indica,"Relaxed,Happy,Euphoric,Hungry,Uplifted"
Princesss-Tiara,hybrid,"Talkative,Energetic,Happy,Uplifted,Giggly"
Professor-Chaos,hybrid,"Uplifted,Happy,Energetic,Relaxed,Euphoric"
Project-Blue-Book,hybrid,"Happy,Uplifted,Creative,Focused,Talkative"
Proper-Pho-Shatter-S,sativa,None
Proper-Pho-Shatter-H,hybrid,None
Proper-Pho-Shatter-I,indica,None
Puna-Buddaz,indica,"Uplifted,Happy,Sleepy,Talkative,Creative"
Puna-Budder,hybrid,"Uplifted,Giggly,Happy,Relaxed,Talkative"
Punky-Lion,indica,"Relaxed,Euphoric,Tingly,Happy,Sleepy"
Pure-Afghan,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Pure-Kush,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Pure-Love,indica,"Relaxed,Sleepy,Happy,Focused,Euphoric"
Pure-Og,indica,"Happy,Tingly,Uplifted,Creative,Relaxed"
Pure-Power-Plant,hybrid,"Energetic,Happy,Relaxed,Creative,Uplifted"
Purple-Ak-47,hybrid,"Relaxed,Euphoric,Focused,Aroused,Sleepy"
Purple-Afghani,indica,"Relaxed,Uplifted,Sleepy,Happy,Euphoric"
Purple-Alien-Og,hybrid,"Relaxed,Happy,Uplifted,Sleepy,Focused"
Purple-Animal-Cookies,hybrid,"Euphoric,Giggly,Happy,Relaxed"
Purple-Arrow,hybrid,"Happy,Uplifted,Focused,Energetic,Relaxed"
Purple-Aurora,hybrid,"Focused,Relaxed"
Purple-Berry,indica,"Relaxed,Happy,Euphoric,Creative,Sleepy"
Purple-Bubba,indica,"Relaxed,Euphoric,Uplifted,Sleepy,Happy"
Purple-Bud,indica,"Relaxed,Happy,Sleepy,Euphoric,Creative"
Purple-Buddha,indica,"Euphoric,Relaxed,Happy,Focused,Sleepy"
Purple-Bush,indica,"Relaxed,Creative,Focused,Euphoric,Sleepy"
Purple-Candy,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Purple-Champagne,sativa,"Uplifted,Focused,Euphoric,Happy,Creative"
Purple-Cheddar,indica,"Euphoric,Happy,Relaxed,Sleepy,Hungry"
Purple-Cheese,hybrid,"Happy,Relaxed,Uplifted,Sleepy,Euphoric"
Purple-Chemdawg,indica,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
Purple-Cotton-Candy,indica,"Relaxed,Happy,Talkative,Uplifted,Aroused"
Purple-Cow,sativa,"Focused,Relaxed,Uplifted,Euphoric"
Purple-Crack,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Energetic"
Purple-Cream,indica,"Happy,Relaxed,Sleepy,Hungry,Giggly"
Purple-Diesel,hybrid,"Relaxed,Uplifted,Happy,Energetic,Focused"
Purple-Dog-Shit,hybrid,"Euphoric,Relaxed,Happy,Creative,Uplifted"
Purple-Dragon,indica,"Relaxed,Uplifted,Giggly,Euphoric,Happy"
Purple-Dream,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Purple-Elephant,indica,"Relaxed,Sleepy,Giggly,Happy,Euphoric"
Purple-Frost,hybrid,"Talkative,Happy,Sleepy,Uplifted,Relaxed"
Purple-Goat,hybrid,"Uplifted,Happy,Talkative,Creative,Energetic"
Purple-Goo,indica,"Relaxed,Euphoric,Happy,Talkative,Uplifted"
Purple-Gorilla,hybrid,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Purple-Hashplant,hybrid,"Euphoric,Relaxed,Sleepy,Hungry,Happy"
Purple-Haze,sativa,"Uplifted,Happy,Euphoric,Relaxed,Energetic"
Purple-Headband,hybrid,"Happy,Relaxed,Uplifted,Creative,Focused"
Purple-Hindu-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Purple-Ice,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Creative"
Purple-Jack,hybrid,"Uplifted,Euphoric,Focused,Relaxed,Creative"
Purple-Jolly-Rancher,indica,"Focused,Relaxed,Euphoric,Happy,Uplifted"
Purple-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Purple-Linda,indica,Relaxed
Purple-Martian-Kush,indica,"Relaxed,Happy,Tingly,Euphoric,Uplifted"
Purple-Maui,hybrid,"Happy,Energetic,Uplifted,Relaxed,Focused"
Purple-Monkey-Balls,indica,"Happy,Relaxed,Euphoric,Sleepy,Giggly"
Purple-Mr-Nice,indica,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Purple-Nepal,indica,"Relaxed,Happy,Euphoric,Tingly,Sleepy"
Purple-Og-Kush,indica,"Sleepy,Relaxed,Happy,Euphoric,Hungry"
Purple-Pantera,hybrid,"Sleepy,Euphoric,Relaxed"
Purple-Panty-Dropper,indica,"Relaxed,Euphoric,Happy,Sleepy,Giggly"
Purple-Paralysis,hybrid,"Sleepy,Relaxed,Euphoric,Happy,Hungry"
Purple-Passion,indica,"Relaxed,Sleepy,Happy,Creative,Euphoric"
Purple-People-Eater,indica,"Uplifted,Creative,Euphoric,Focused,Relaxed"
Purple-Pinecone,indica,"Focused,Happy,Euphoric,Relaxed,Sleepy"
Purple-Power,sativa,"Relaxed,Happy,Uplifted,Energetic,Creative"
Purple-Princess,hybrid,"Relaxed,Aroused,Euphoric,Uplifted,Happy"
Purple-Punch,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Purple-Raine,hybrid,"Uplifted,Happy,Creative,Energetic,Euphoric"
Purple-Rhino,hybrid,"Happy,Relaxed,Euphoric,Hungry,Tingly"
Purple-Sage,hybrid,"Euphoric,Uplifted,Creative,Happy,Aroused"
Purple-Skunk,hybrid,"Happy,Relaxed,Sleepy,Focused,Giggly"
Purple-Sour-Diesel,hybrid,"Happy,Euphoric,Tingly,Uplifted,Relaxed"
Purple-Star,indica,"Relaxed,Uplifted,Tingly,Sleepy,Euphoric"
Purple-Swish,indica,"Happy,Energetic,Sleepy,Giggly,Hungry"
Purple-Tangie,sativa,"Happy,Euphoric,Energetic,Relaxed,Creative"
Purple-Tears,hybrid,"Sleepy,Tingly,Happy,Hungry,Relaxed"
Purple-Thai,sativa,"Relaxed,Happy,Uplifted,Focused,Creative"
Purple-Tide,hybrid,None
Purple-Tonic,indica,"Happy,Uplifted,Energetic,Euphoric,Sleepy"
Purple-Trainwreck,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Giggly"
Purple-Urkle,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Purple-Voodoo,hybrid,"Euphoric,Focused,Relaxed,Giggly,Happy"
Purple-Widow,hybrid,"Relaxed,Euphoric,Hungry,Happy,Creative"
Purple-Wreck,indica,"Relaxed,Sleepy,Happy,Euphoric,Creative"
